,kebap_place_name,closest_station,distance
0,Kebabish,Københavns Hovedbanegård,320.7358579086439
1,Yilmaz Döner Kebab,Nørrebro,817.9511505996635
2,Kebab Time,Taastrup,712.1700924260969
3,King of Kebab,Forum,858.4899686919796
4,Torvets Shawarma Kebab,Hvidovre,865.7397670755003
5,Amager Kebab 2001,Amagerbro,406.450079609551
6,Kebap Mann,Malmparken,321.41685450629546
7,Kebab Grill House,Glostrup,531.2132088030581
8,Pølse og Grill,Vigerslev Allé,974.759548313614
9,Konya Kebab,Nørrebros Runddel,114.79214137290258
10,Kösem,Nørrebros Runddel,510.10801250792827
11,Kebabistan,Nørrebros Runddel,285.8842198458489
12,Atlas Pizza Kebab,Bispebjerg,1032.7721808713527
13,Flamingo Kebab,Nørrebro,243.22412090149862
14,ZamZam Kebab,Nørrebro,199.61011906300484
15,Öz Konya Kebab,Nørrebro,146.95284960950096
16,Kebabistan 3,Nordhavn,443.84502802585394
17,Konya Kebab,Taastrup,258.9182500712364
18,Tåstrup Grill Kebab,Taastrup,179.1114276204543
19,City Kebab,Amagerbro,617.3538496684729
20,Kebabland,Amagerbro,97.12023530650764
21,Vefa Kebab,Trianglen,567.6352614655215
22,Naan Kebab and Sweets,Albertslund,337.78035329312604
23,Kebabistan - HK,Amagerbro,536.4169418133214
24,Nemos Kebab,Ordrup,574.8186950830229
25,Jernbane Durum & Kebab House,Lyngby,49.13258052199543
26,Husum Kebab,Husum,951.0540153436323
27,Istanbul Kebabhouse,Grøndal,536.9782362324662
28,Star Midnight Kebab & Grill,Enghave Plads,176.78903075086595
29,Shawarma Palace,Rådhuspladsen,132.20733233482144
30,Chili grill kebab,Kastrup,343.44545241775387
31,City Kebabhouse,Høje Taastrup,808.922302936075
32,Emils Kebab,Charlottenlund,54.717042542926094
33,Brønshøj Kebab,Islev,1616.8233373431833
34,Ishøj Grill,Ishøj,281.65767728083017
35,Silas Kebab,Amagerbro,695.2001102792389
36,Kebaben,Kongens Nytorv,314.6062418109636
37,Hvidovre Shawarma Grill,Friheden,904.2064161851747
38,Mirac Kebab,Kildebakke,1737.715405495419
39,Smiley's Kebab,Amagerbro,14.969040133742594
40,Station Kebab,København Syd,43.61684784839272
41,Sheiks Shawarma,Nørrebros Runddel,173.15024513950524
42,Madam Bum,Carlsberg,380.34670803749555
43,Quickstop Kebab,Hellerup,107.278786763123
44,Mina K,Albertslund,816.9634919072065
45,Kebab på farten,Malmparken,33.94883796216665
46,Kebabbar,Nørrebros Runddel,201.46397385378089
47,Morfars Kebab,Ballerup,41.17484006184532
48,Kebabhjørnet,Hvidovre,615.2824285705829
49,Tadim Kebab,Husum,849.6855364820241
50,Ørestad Kebab,Ørestad,115.39678801615965
51,Fuldkorn Kebab,Nørrebros Runddel,238.2256320080187
52,Zeynos kebab,Grøndal,1833.0524904894403
53,Kebabklubben,Lyngby,186.42306583109516
54,AL Kebab,Vallensbæk,159.44485803121847
55,Måløv Kebab,Måløv,227.49484859542648
